DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,nNusiance,expression,pthreshold,Col-Map,covariance matrix,y regression,y probabilities,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
dzePx3GqXdqLDKs6np48Ae, make_classification,2000,2,1,10,16,4,2,1,2,,,,,,,,0.2,False,42,"[[ -9.45443042  -1.33344326   4.15166539 ...  -2.67539199  -0.50048783
   -1.22196701]
 [ -0.58105997  -4.09670875  -1.27354243 ...  -2.57617216   2.24818954
   -1.51683423]
 [  9.09908762  -0.07773031   0.29389814 ...   0.81125814  -0.76766563
    1.01111829]
 ...
 [  3.38489501   2.45935867  -7.65660653 ...  -2.37238704  -0.88012594
   -0.06139997]
 [ -1.96928687 -10.166702    -4.03526053 ...  -1.28357326  -0.06564872
   -0.27489385]
 [  8.68287795   1.17522966   0.36355744 ...   0.59968969   0.69696094
   -0.7829698 ]]",[ 1 -1 -1 ... -1 -1 -1],"[[  8.82346675   1.25617896   0.88687131 ...   3.67965478   1.31548998
   -2.44450955]
 [  8.67229655  -0.26744043   3.11655819 ...   2.41902544  -2.69248
    2.11959786]
 [  7.47733044  -6.68789803   3.88182378 ...  -1.4198934    0.04680233
   -1.7609919 ]
 ...
 [ -7.24992034   3.59004259   5.51840424 ...  -3.8032057   -2.07248812
    0.3311234 ]
 [  6.85707114   0.23198402   2.48331078 ...   4.49503953  -0.77090127
   -1.70121711]
 [  0.66483175 -13.10383282  -0.24882387 ...   2.43920348  -3.3603012
    0.66193156]]","[-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1  1 -1
  1  1  1  1 -1 -1  1  1  1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1  1  1
  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1
 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1
  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1
 -1 -1  1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1
 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1 -1  1  1 -1  1 -1  1  1
 -1  1  1  1 -1  1  1 -1  1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1
 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1
 -1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1
  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1
 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1
 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1
 -1 -1  1  1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1  1
 -1  1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]"
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,nNusiance,expression,pthreshold,Col-Map,covariance matrix,y regression,y probabilities,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
2N5Xbugsr5ZhFKv5SJGfmp, make_classification,2000,2,1,10,16,4,2,1,2,,,,,,,,0.2,False,42,"[[ -9.45443042  -1.33344326   4.15166539 ...  -2.67539199  -0.50048783
   -1.22196701]
 [ -0.58105997  -4.09670875  -1.27354243 ...  -2.57617216   2.24818954
   -1.51683423]
 [  9.09908762  -0.07773031   0.29389814 ...   0.81125814  -0.76766563
    1.01111829]
 ...
 [  3.38489501   2.45935867  -7.65660653 ...  -2.37238704  -0.88012594
   -0.06139997]
 [ -1.96928687 -10.166702    -4.03526053 ...  -1.28357326  -0.06564872
   -0.27489385]
 [  8.68287795   1.17522966   0.36355744 ...   0.59968969   0.69696094
   -0.7829698 ]]",[ 1 -1 -1 ... -1 -1 -1],"[[  8.82346675   1.25617896   0.88687131 ...   3.67965478   1.31548998
   -2.44450955]
 [  8.67229655  -0.26744043   3.11655819 ...   2.41902544  -2.69248
    2.11959786]
 [  7.47733044  -6.68789803   3.88182378 ...  -1.4198934    0.04680233
   -1.7609919 ]
 ...
 [ -7.24992034   3.59004259   5.51840424 ...  -3.8032057   -2.07248812
    0.3311234 ]
 [  6.85707114   0.23198402   2.48331078 ...   4.49503953  -0.77090127
   -1.70121711]
 [  0.66483175 -13.10383282  -0.24882387 ...   2.43920348  -3.3603012
    0.66193156]]","[-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1  1 -1
  1  1  1  1 -1 -1  1  1  1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1  1  1
  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1
 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1
  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1
 -1 -1  1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1
 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1 -1  1  1 -1  1 -1  1  1
 -1  1  1  1 -1  1  1 -1  1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1
 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1
 -1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1
  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1
 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1
 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1
 -1 -1  1  1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1  1
 -1  1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]"
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,nNusiance,expression,pthreshold,Col-Map,covariance matrix,y regression,y probabilities,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
foP7E2SYEQN66FMcU3WXgm, make_classification,2000,2,1,10,16,4,2,1,2,,,,,,,,0.2,False,42,"[[ 3.928174    2.9313393  -0.92585176 ... -0.84865326  2.18542
   0.27485764]
 [-2.5806673   1.8823051   2.0100417  ...  0.5123342   5.447874
  -3.195192  ]
 [-3.0553684  -1.3011413  -0.97750396 ...  1.5019121  -3.0458727
  -0.886237  ]
 ...
 [-2.1813846  -4.186018   -0.5680472  ... -1.1846049   1.6109579
  -4.2042956 ]
 [-3.4249105   3.465711    3.2912543  ... -0.6252647   2.326728
  -0.8956529 ]
 [-1.9548289  -2.1711447  -0.34989503 ...  1.0232279  -3.9578073
  -0.6980576 ]]",[ 1 -1 -1 ... -1 -1 -1],"[[-1.1648973  -1.8960028  -0.1539201  ... -1.0525826   0.03192795
   4.157929  ]
 [-2.0497563  -1.4731057  -1.2746235  ...  1.2058839   1.5552348
   4.140605  ]
 [-1.0924698  -3.4542372  -0.7295559  ...  0.6017651  -0.91034055
   3.2966092 ]
 ...
 [ 0.8984717   0.05081497  2.5227518  ...  0.3854328   0.55171
  -3.0370874 ]
 [-1.7718143  -2.0200875  -0.6802613  ... -1.328381    0.4710305
   3.8241782 ]
 [-0.18599887  0.13248125 -1.984629   ...  1.7511215  -0.6106052
   2.3235242 ]]","[-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1  1 -1
  1  1  1  1 -1 -1  1  1  1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1  1  1
  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1
 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1
  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1
 -1 -1  1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1
 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1 -1  1  1 -1  1 -1  1  1
 -1  1  1  1 -1  1  1 -1  1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1
 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1
 -1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1
  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1
 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1
 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1
 -1 -1  1  1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1  1
 -1  1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]"
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,nNusiance,expression,pthreshold,Col-Map,covariance matrix,y regression,y probabilities,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
FsWtqJBsLzHFiGSqVdJw3f, make_classification,2000,2,1,10,16,4,2,1,2,,,,,,,,0.2,False,42,"[[-0.60560458  8.29548383 -8.95620999 ...  7.23170369 -3.40644142
   0.2106713 ]
 [-0.063293   -2.30311129 -1.80995084 ...  1.87449492 -1.55848304
   2.62883106]
 [11.57374815 -3.58662538 -0.6914274  ...  1.942215    0.90463778
  -1.13180773]
 ...
 [ 6.01797229  0.25259849  2.52111616 ... -3.07628383 -1.54759919
  -0.79524985]
 [-1.08808536 -4.29620628 -8.66995186 ...  1.71162808 -1.09985093
   0.11001194]
 [11.22960745 -2.73394107  0.4669177  ...  2.18017706  0.22718938
   0.88802814]]",[ 1 -1 -1 ... -1 -1 -1],"[[10.97523951 -4.31326999 -0.9725454  ...  1.73775562  2.29663082
   1.71476809]
 [ 9.70325753 -5.30454146 -1.09441699 ...  2.55300471  1.64836294
  -3.14143842]
 [ 4.98324347 -8.37949031 -4.68106473 ... -1.45627992 -1.54317507
   0.63497094]
 ...
 [ 4.95938514 10.43349809 -5.26561144 ...  0.55465405 -3.81348479
  -1.67550946]
 [ 8.5996107  -3.70081477 -1.1259522  ...  0.33488663  3.43658704
  -0.90112831]
 [-3.82119167 -7.50160235 -8.12326314 ...  0.7447492   2.34798618
  -4.05294736]]","[-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1  1 -1
  1  1  1  1 -1 -1  1  1  1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1  1  1
  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1
 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1
  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1
 -1 -1  1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1
 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1 -1  1  1 -1  1 -1  1  1
 -1  1  1  1 -1  1  1 -1  1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1
 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1
 -1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1
  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1
 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1
 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1
 -1 -1  1  1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1  1
 -1  1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]"
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,nNusiance,expression,pthreshold,Col-Map,covariance matrix,y regression,y probabilities,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
HnSnAZBL4s4cqDssbVnnZL, make_classification,2000,2,1,10,16,4,2,1,2,,,,,,,,0.2,False,42,"[[ 2.2101152  0.         0.        ... 12.544845   7.744687   0.       ]
 [ 0.         8.435312   0.        ...  0.         0.         0.       ]
 [ 3.7871926  7.3045993  0.        ...  3.1124535  2.138383   0.       ]
 ...
 [ 5.2293577  6.7243     0.        ...  3.7532048  2.695533   0.       ]
 [ 0.         8.461188   0.        ...  0.         0.         0.       ]
 [ 3.9230022  7.24597    0.        ...  3.1867409  2.2008965  0.       ]]",[ 1 -1 -1 ... -1 -1 -1],"[[2.9914055e+00 7.7502751e+00 0.0000000e+00 ... 1.9802285e+00
  1.3914956e+00 0.0000000e+00]
 [2.7827761e+00 7.8553071e+00 0.0000000e+00 ... 1.8473214e+00
  1.2216820e+00 0.0000000e+00]
 [3.1063836e-03 8.5105982e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [4.4993213e-01 1.1310743e+00 0.0000000e+00 ... 1.1857211e+01
  6.9022179e+00 0.0000000e+00]
 [2.5858665e+00 7.9393153e+00 0.0000000e+00 ... 1.6619748e+00
  1.0981326e+00 0.0000000e+00]
 [0.0000000e+00 8.2857809e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]","[-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1  1 -1
  1  1  1  1 -1 -1  1  1  1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1  1  1
  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1
 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1
  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1
 -1 -1  1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1
 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1 -1  1  1 -1  1 -1  1  1
 -1  1  1  1 -1  1  1 -1  1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1
 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1
 -1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1
  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1
 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1
 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1
 -1 -1  1  1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1  1
 -1  1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]"
